Borough	Event Type	Audience	Attendance	Class
Manhattan	Community Based Event	General Public	17.0	Movies
Manhattan	Community Based Event	General Public	12.0	Other
Brooklyn	Community Based Event	General Public	80.0	Movies
Brooklyn	Community Based Event	General Public	105.0	Movies
Brooklyn	Community Based Event	General Public	115.0	Movies
Brooklyn	Community Based Event	General Public	20.0	Movies
Brooklyn	Community Based Event	General Public	80.0	Movies
Brooklyn	Community Based Event	General Public	50.0	Movies
Staten Island	Agency Produced Event	General Public	53.0	Lecture/Panel/Talk
Bronx	Community Based Event	General Public	25.0	Movies
Bronx	Community Based Event	General Public	26.0	Movies
Bronx	Community Based Event	General Public	30.0	Movies
Bronx	Local Event	Children,Adults,Seniors,Young Adult,Adaptive,Teens,General Public	100.0	Other
Bronx	Local Event	Seniors	15.0	Other
Manhattan	Agency Produced Event	Young Adult,Adults,Adaptive,Seniors,General Public	8.0	AC&F
Staten Island	Community Based Event	General Public	15.0	Movies
Staten Island	Community Based Event	General Public	75.0	Movies
Staten Island	Community Based Event	General Public	15.0	Movies
Staten Island	Community Based Event	General Public	90.0	Movies
Staten Island	Community Based Event	General Public	90.0	Movies
Queens	Community Based Event	Tot,Children,Young Adult,Adults,Teens,Seniors,General Public	400.0	Play
Queens	Community Based Event	General Public	48.0	Movies
Manhattan	Community Based Event	General Public	32.0	Movies
Manhattan	Community Based Event	General Public	40.0	AC&F
Manhattan	Community Based Event	General Public	95.0	AC&F
Manhattan	Agency Produced Event	General Public	31.0	AC&F
Manhattan	Community Based Event	General Public	69.0	Movies
Manhattan	Community Based Event	General Public	16.0	Movies
Staten Island	Community Based Event	Tot,Children,Young Adult,Adults,Teens,General Public	76.0	Other
Bronx	Community Based Event	General Public	40.0	Movies
Bronx	Community Based Event	General Public	31.0	Movies
Bronx	Community Based Event	General Public	60.0	Movies
Queens	Community Based Event	General Public	107.0	Movies
Queens	Community Based Event	General Public	153.0	Movies
Queens	Community Based Event	General Public	52.0	Movies
Manhattan	Agency Produced Event	Young Adult,Adults,Teens,Adaptive,Seniors,General Public	27.0	AC&F
Manhattan	Community Based Event	General Public	16.0	Other
Manhattan	Community Based Event	General Public	133.0	Movies
Manhattan	Community Based Event	General Public	336.0	Dance
Manhattan	Community Based Event	General Public	858.0	Other
Manhattan	Community Based Event	General Public	21.0	Other
Manhattan	Community Based Event	General Public	140.0	Movies
Manhattan	Community Based Event	General Public	111.0	Movies
Manhattan	Community Based Event	General Public	150.0	Other
Manhattan	Community Based Event	Tot,Children	70.0	Other
Manhattan	Community Based Event	General Public	130.0	AC&F
Staten Island	Community Based Event	General Public	250.0	Movies
Staten Island	Community Based Event	General Public	100.0	Movies
Staten Island	Community Based Event	General Public	55.0	Movies
Staten Island	Community Based Event	General Public	10.0	Movies
Staten Island	Community Based Event	General Public	25.0	Movies
Staten Island	Community Based Event	General Public	70.0	Movies
Staten Island	Community Based Event	General Public	15.0	Movies
Staten Island	Community Based Event	General Public	75.0	Movies
Staten Island	Community Based Event	General Public	10.0	Movies
Bronx	Community Based Event	General Public	38.0	Movies
Bronx	Community Based Event	General Public	50.0	Movies
Bronx	Community Based Event	General Public	65.0	Movies
Manhattan	Open House	Children,Young Adult,Adults,Teens,Tot	200.0	Play
Manhattan	Tournament/Competition	Teens	40.0	Other
Bronx	Agency Produced Event	Children,Tot,Teens	500.0	Music
Brooklyn	Community Based Event	General Public	65.0	Movies
Brooklyn	Community Based Event	General Public	350.0	Movies
Manhattan	Community Based Event	Children,Tot,Young Adult,Adults,Teens,Seniors,General Public	450.0	Other
Bronx	Community Based Event	General Public	5.0	Movies
Bronx	Community Based Event	General Public	0.0	Movies
Manhattan	Agency Produced Event	General Public	10.0	AC&F
Brooklyn	Community Based Event	General Public	200.0	Movies
Brooklyn	Community Based Event	General Public	130.0	Movies
Brooklyn	Community Based Event	General Public	80.0	Movies
Brooklyn	Community Based Event	General Public	250.0	Movies
Manhattan	Community Based Event	General Public	50.0	Movies
Brooklyn	Community Based Event	General Public	250.0	Movies
Bronx	Community Based Event	General Public	21.0	Movies
Manhattan	Community Based Event	General Public	139.0	Movies
Manhattan	Community Based Event	General Public	120.0	Other
Manhattan	Community Based Event	General Public	15.0	Dance
Manhattan	Community Based Event	General Public	72.0	Movies
Manhattan	Community Based Event	General Public	16.0	AC&F
Manhattan	Community Based Event	General Public	67.0	AC&F
Manhattan	Community Based Event	General Public	111.0	Movies
Manhattan	Community Based Event	General Public	67.0	Movies
Bronx	Community Based Event	General Public	20.0	Movies
Queens	Community Based Event	General Public	67.0	Movies
Queens	Community Based Event	General Public	21.0	Movies
Bronx	Community Based Event	General Public	73.0	Lecture/Panel/Talk
Manhattan	Community Based Event	General Public	1426.0	Dance
Manhattan	Community Based Event	General Public	55.0	Movies
Manhattan	Community Based Event	General Public	82.0	Other
Manhattan	Community Based Event	General Public	426.0	Other
Manhattan	Community Based Event	General Public	345.0	AC&F
Manhattan	Community Based Event	General Public	37.0	Movies
Manhattan	Community Based Event	General Public	32.0	AC&F
Manhattan	Community Based Event	General Public	18.0	Movies
Manhattan	Community Based Event	General Public	125.0	Dance
Bronx	Community Based Event	General Public	42.0	Movies
Bronx	Community Based Event	General Public	48.0	Movies
Queens	Community Based Event	General Public	0.0	Movies
Queens	Community Based Event	General Public	0.0	Movies
Queens	Community Based Event	General Public	0.0	Movies
Queens	Community Based Event	General Public	52.0	Movies
Queens	Community Based Event	General Public	0.0	Movies
Queens	Community Based Event	General Public	107.0	Movies
Queens	Community Based Event	General Public	68.0	Movies
Queens	Community Based Event	Teens	85.0	Movies
Queens	Community Based Event	General Public	112.0	Movies
Bronx	Community Based Event	General Public	0.0	Movies
Bronx	Community Based Event	General Public	0.0	Movies
Brooklyn	Community Based Event	General Public	80.0	Movies
Manhattan	Community Based Event	General Public	23.0	Movies
Manhattan	Community Based Event	General Public	115.0	Movies
Manhattan	Community Based Event	General Public	65.0	Movies
Manhattan	Community Based Event	General Public	20.0	Movies
Manhattan	Community Based Event	General Public	15.0	Movies
Manhattan	Community Based Event	General Public	278.0	Movies
Manhattan	Community Based Event	General Public	256.0	Dance
Bronx	Community Based Event	General Public	19.0	Movies
Bronx	Community Based Event	General Public	0.0	Movies
Bronx	Community Based Event	Children,General Public	160.0	Play
Bronx	Community Based Event	Children,General Public	300.0	Play
Bronx	Community Based Event	Children,General Public	40.0	Play
Manhattan	Community Based Event	Young Adult,Adults,Teens,Adaptive,Seniors,General Public	33.0	AC&F
Staten Island	Community Based Event	General Public	95.0	Movies
Staten Island	Community Based Event	General Public	15.0	Movies
Staten Island	Community Based Event	General Public	125.0	Movies
Staten Island	Community Based Event	General Public	5.0	Movies
Staten Island	Community Based Event	General Public	5.0	Movies
Staten Island	Community Based Event	General Public	25.0	Movies
Staten Island	Community Based Event	General Public	25.0	Movies
Staten Island	Community Based Event	General Public	15.0	Movies
Staten Island	Community Based Event	General Public	45.0	Movies
Staten Island	Community Based Event	General Public	30.0	Movies
Staten Island	Community Based Event	General Public	50.0	Movies
Staten Island	Community Based Event	General Public	5.0	Movies
Staten Island	Community Based Event	General Public	40.0	Movies
Staten Island	Community Based Event	General Public	2.0	Movies
Staten Island	Community Based Event	General Public	40.0	Movies
Staten Island	Community Based Event	General Public	5.0	Movies
Staten Island	Community Based Event	General Public	75.0	Movies
Staten Island	Community Based Event	General Public	36.0	Movies
Staten Island	Community Based Event	General Public	35.0	Movies
Staten Island	Community Based Event	General Public	40.0	Movies
Staten Island	Community Based Event	General Public	75.0	Movies
Brooklyn	Community Based Event	General Public	300.0	Movies
Manhattan	Community Based Event	General Public	276.0	Movies
Manhattan	Community Based Event	General Public	58.0	Movies
Manhattan	Community Based Event	General Public	855.0	Movies
Manhattan	Community Based Event	General Public	25.0	Movies
Manhattan	Community Based Event	General Public	185.0	Dance
Manhattan	Community Based Event	General Public	87.0	Movies
Bronx	Community Based Event	General Public	145.0	Movies
Bronx	Community Based Event	General Public	78.0	Movies
Brooklyn	Community Based Event	General Public	250.0	Movies
Brooklyn	Community Based Event	General Public	100.0	Movies
Bronx	Community Based Event	General Public	16.0	Movies
Bronx	Community Based Event	General Public	21.0	Lecture/Panel/Talk
Bronx	Community Based Event	General Public	188.0	Movies
Brooklyn	Community Based Event	General Public	120.0	Movies
Queens	Community Based Event	General Public	61.0	Movies
Brooklyn	Community Based Event	General Public	100.0	Movies
Brooklyn	Community Based Event	General Public	250.0	Movies
Brooklyn	Community Based Event	General Public	175.0	Movies
Brooklyn	Community Based Event	General Public	200.0	Movies
Brooklyn	Community Based Event	General Public	50.0	Movies
Brooklyn	Community Based Event	General Public	100.0	Movies
Brooklyn	Community Based Event	General Public	100.0	Movies
Queens	Community Based Event	General Public	241.0	Movies
Queens	Community Based Event	General Public	169.0	Movies
Queens	Community Based Event	General Public	203.0	Movies
Bronx	Community Based Event	General Public	500.0	Movies
Bronx	Community Based Event	General Public	23.0	Movies
Manhattan	Community Based Event	General Public	52.0	Movies
Manhattan	Community Based Event	General Public	101.0	Movies
Manhattan	Community Based Event	General Public	65.0	Movies
Manhattan	Community Based Event	General Public	101.0	Movies
Queens	Community Based Event	General Public	284.0	Movies
Queens	Community Based Event	General Public	212.0	Movies
Queens	Community Based Event	General Public	37.0	Movies
Queens	Community Based Event	General Public	259.0	Movies
Queens	Community Based Event	General Public	62.0	Movies
Queens	Community Based Event	General Public	0.0	Movies
Queens	Community Based Event	General Public	98.0	Movies
Manhattan	Agency Produced Event	Adults,Teens,Adaptive,Seniors	42.0	Other
Manhattan	Community Based Event	Children,Teens	360.0	Other
Manhattan	Community Based Event	General Public	115.0	Movies
Manhattan	Community Based Event	General Public	57.0	Movies
Bronx	Community Based Event	General Public	52.0	Movies
Bronx	Community Based Event	General Public	34.0	Movies
Bronx	Community Based Event	General Public	0.0	Movies
Manhattan	Community Based Event	General Public	315.0	Dance
Manhattan	Community Based Event	Teens,Adults,Seniors	25.0	Other
Manhattan	Community Based Event	General Public	18.0	Other
Manhattan	Local Event	Children,Young Adult	28.0	Other
Manhattan	Community Based Event	General Public	16.0	Other
Manhattan	Community Based Event	General Public	220.0	Other
Manhattan	Community Based Event	General Public	16.0	Other
Manhattan	Local Event	Children,Young Adult	25.0	Other
Manhattan	Community Based Event	Children,Teens	26.0	Other
Manhattan	Community Based Event	General Public	15.0	Other
Manhattan	Tournament/Competition	General Public	16.0	Other
Manhattan	Community Based Event	General Public	20.0	Other
Manhattan	Community Based Event	Children	55.0	Other
Brooklyn	Community Based Event	General Public	240.0	Movies
Brooklyn	Community Based Event	General Public	400.0	Movies
Manhattan	Community Based Event	General Public	250.0	Movies
Brooklyn	Community Based Event	General Public	75.0	Movies
Bronx	Community Based Event	General Public	0.0	Movies
Bronx	Agency Produced Event	Children	13.0	Play
Bronx	Community Based Event	Children,General Public	20.0	Play
Bronx	Agency Produced Event	Children,General Public	200.0	Play
Bronx	Agency Produced Event	Children,General Public	12.0	Play
Bronx	Community Based Event	General Public	0.0	Movies
Bronx	Agency Produced Event	Children,General Public	300.0	Other
Bronx	Community Based Event	General Public	0.0	Movies
Bronx	Community Based Event	General Public	64.0	Movies
Manhattan	Community Based Event	General Public	36.0	Other
Manhattan	Community Based Event	General Public	125.0	Movies
Manhattan	Community Based Event	General Public	86.0	Movies
Manhattan	Community Based Event	General Public	61.0	Movies
Manhattan	Community Based Event	General Public	55.0	Movies
Manhattan	Community Based Event	General Public	99.0	Movies
Manhattan	Community Based Event	General Public	216.0	Music
Manhattan	Community Based Event	General Public	315.0	Movies
Manhattan	Community Based Event	General Public	21.0	AC&F
Bronx	Community Based Event	General Public	31.0	Movies
Queens	Community Based Event	General Public	193.0	Movies
Bronx	Local Event	General Public	25.0	AC&F
Bronx	Local Event	General Public	25.0	AC&F
Bronx	Local Event	General Public	20.0	AC&F
Bronx	Local Event	General Public	100.0	AC&F
Bronx	Local Event	Teens,Young Adult,Adults,Seniors	30.0	AC&F
Bronx	Local Event	General Public	350.0	AC&F
Bronx	Local Event	General Public	17.0	AC&F
Bronx	Local Event	Seniors,Adults,Young Adult	120.0	AC&F
Staten Island	Local Event	General Public	40.0	Play
Staten Island	Tournament/Competition	Seniors	125.0	Sport
Bronx	Community Based Event	General Public	0.0	Movies
Bronx	Community Based Event	General Public	0.0	Movies
Bronx	Local Event	General Public	55.0	AC&F
Brooklyn	Local Event	Teens,Young Adult,Adults	24.0	Sport
Bronx	Local Event	General Public	20.0	AC&F
Bronx	Local Event	General Public	100.0	AC&F
Bronx	Local Event	General Public	120.0	AC&F
Manhattan	Community Based Event	General Public	65.0	Dance
Manhattan	Community Based Event	General Public	90.0	Other
Manhattan	Community Based Event	General Public	25.0	Other
Manhattan	Community Based Event	General Public	52.0	Movies
Manhattan	Community Based Event	General Public	70.0	Dance
Manhattan	Community Based Event	General Public	100.0	Music
Manhattan	Community Based Event	General Public	220.0	AC&F
Manhattan	Community Based Event	General Public	150.0	Dance
Manhattan	Community Based Event	Tot,Children	150.0	Other
Manhattan	Community Based Event	General Public	83.0	Other
Manhattan	Community Based Event	General Public	45.0	Dance
Manhattan	Community Based Event	Teens	21.0	Other
Manhattan	Community Based Event	General Public	40.0	Other
Manhattan	Community Based Event	General Public	35.0	Dance
Brooklyn	Community Based Event	General Public	200.0	Movies
Manhattan	Community Based Event	Children,Teens	96.0	Other
Manhattan	Community Based Event	General Public	150.0	Other
Manhattan	Community Based Event	General Public	35.0	Movies
Manhattan	Community Based Event	General Public	22.0	Other
Manhattan	Community Based Event	Tot,Children	175.0	Play
Manhattan	Community Based Event	General Public	100.0	Movies
Manhattan	Community Based Event	General Public	45.0	Dance
Manhattan	Community Based Event	General Public	20.0	Other
Manhattan	Community Based Event	General Public	27.0	Music
Manhattan	Community Based Event	General Public	35.0	AC&F
Manhattan	Community Based Event	General Public	20.0	Dance
Manhattan	Community Based Event	Teens,Tot,Children,Adults,Young Adult	20.0	Other
Manhattan	Community Based Event	Teens,Young Adult,Children	20.0	Lecture/Panel/Talk
Manhattan	Community Based Event	Adults,Children,Teens,General Public	16.0	Other
Manhattan	Community Based Event	General Public	45.0	AC&F
Manhattan	Community Based Event	Adults,Seniors,Adaptive	30.0	Other
Manhattan	Community Based Event	General Public	30.0	Dance
Manhattan	Community Based Event	General Public	60.0	AC&F
Manhattan	Community Based Event	General Public	66.0	Other
Manhattan	Community Based Event	General Public		Other
Manhattan	Agency Produced Event	General Public	32.0	Other
Manhattan	Community Based Event	General Public	15.0	Other
Manhattan	Agency Produced Event	General Public	16.0	Other
Manhattan	Community Based Event	General Public	25.0	Other
Manhattan	Community Based Event	General Public		Other
Manhattan	Community Based Event	General Public	35.0	Music
Manhattan	Community Based Event	General Public	40.0	Fitness
Manhattan	Community Based Event	General Public	94.0	Play
Manhattan	Community Based Event	General Public	33.0	AC&F
Manhattan	Community Based Event	General Public	35.0	Lecture/Panel/Talk
Manhattan	Community Based Event	General Public	70.0	Fitness
Manhattan	Community Based Event	Adults,Seniors,Adaptive	30.0	Lecture/Panel/Talk
Manhattan	Community Based Event	General Public	30.0	AC&F
Manhattan	Community Based Event	General Public	45.0	AC&F
Manhattan	Community Based Event	Seniors,Adults	125.0	Dance
Bronx	Local Event	Adults,Seniors	9.0	Other
Brooklyn	Local Event	Tot,Children	78.0	Play
Brooklyn	Local Event	Tot	67.0	Other
Manhattan	Local Event	Tot,Teens,Young Adult,Adults,Seniors	220.0	Play
Manhattan	Local Event	Children	39.0	Play
Manhattan	Tournament/Competition	Children,Teens	22.0	Play
Manhattan	Open House	Teens,Young Adult,Adults,Seniors	95.0	Other
Bronx	Local Event	Teens,Young Adult,Children	15.0	Play
Bronx	Local Event	Children	12.0	Play
Bronx	Local Event	General Public	12.0	AC&F
Bronx	Local Event	General Public	10.0	AC&F
Bronx	Local Event	Seniors	9.0	Play
Brooklyn	Tournament/Competition	Teens,Young Adult		Sport
Bronx	Local Event	General Public	40.0	AC&F
Bronx	Local Event	General Public	20.0	AC&F
Bronx	Local Event	General Public	20.0	AC&F
Bronx	Local Event	Teens,Young Adult,Adults,Children	50.0	Play
Bronx	Local Event	Children	21.0	Play
Bronx	Local Event	Teens,Adults,Seniors,Young Adult	25.0	AC&F
Brooklyn	Local Event	Tot	95.0	Play
Manhattan	Local Event	Young Adult,Teens,Adults	55.0	Fitness
Manhattan	Local Event	Tot	75.0	Play
Manhattan	Local Event	Children,Teens	55.0	Other
Manhattan	Local Event	General Public	256.0	Dance
Manhattan	Local Event	Adults,Seniors	27.0	Lecture/Panel/Talk
Manhattan	Local Event	Tot,Children	33.0	Play
Brooklyn	Local Event	Tot,Children	80.0	Play
Queens	Community Based Event	General Public	0.0	Movies
Queens	Community Based Event	General Public	0.0	Movies
Queens	Community Based Event	General Public	217.0	Movies
Queens	Community Based Event	General Public	0.0	Movies
Queens	Community Based Event	General Public	0.0	Movies
Manhattan	Community Based Event	Teens,Adults,Seniors	55.0	Movies
Manhattan	Community Based Event	General Public	216.0	Music
Manhattan	Community Based Event	Adults,Seniors	175.0	Dance
Brooklyn	Community Based Event	General Public	250.0	Movies
Brooklyn	Community Based Event	General Public	700.0	Movies
Brooklyn	Community Based Event	General Public	200.0	Movies
Brooklyn	Community Based Event	General Public	700.0	Movies
Bronx	Community Based Event	General Public	65.0	Movies
Queens	Community Based Event	General Public	931.0	Movies
Manhattan	Community Based Event	General Public	99.0	Movies
Manhattan	Community Based Event	General Public	315.0	Movies
Manhattan	Community Based Event	General Public	236.0	Movies
Bronx	Community Based Event	General Public	18.0	Movies
Queens	Community Based Event	General Public	189.0	Movies
Bronx	Community Based Event	General Public	46.0	Movies
Bronx	Community Based Event	General Public	0.0	Movies
Queens	Community Based Event	General Public	0.0	Movies
Queens	Community Based Event	General Public	340.0	Other
Queens	Community Based Event	General Public	177.0	Other
Queens	Community Based Event	General Public	164.0	Movies
Bronx	Community Based Event	General Public	33.0	Movies
Manhattan	Community Based Event	General Public	157.0	Movies
Manhattan	Community Based Event	General Public	50.0	Movies
Manhattan	Community Based Event	General Public	415.0	Play
Manhattan	Tournament/Competition	Children	157.0	Fitness
Manhattan	Community Based Event	General Public	146.0	Movies
Manhattan	Community Based Event	Adults,Seniors	275.0	Dance
Manhattan	Community Based Event	General Public	153.0	Movies
Staten Island	Community Based Event	General Public	25.0	Movies
Staten Island	Community Based Event	General Public	4.0	Movies
Staten Island	Community Based Event	General Public	40.0	Movies
Staten Island	Community Based Event	General Public	175.0	Movies
Bronx	Community Based Event	General Public	5.0	Movies
Bronx	Community Based Event	General Public	64.0	Movies
Bronx	Community Based Event	General Public	0.0	Movies
Staten Island	Community Based Event	General Public	40.0	Movies
Staten Island	Community Based Event	General Public	65.0	Movies
Staten Island	Community Based Event	General Public	125.0	Movies
Queens	Community Based Event	General Public	118.0	Movies
Staten Island	Community Based Event	General Public	140.0	Movies
