Borough	Event Type	Audience	Attendance	Class
Staten Island	Community Based Event	General Public	5.0	Movies
Staten Island	Community Based Event	General Public	100.0	Movies
Staten Island	Community Based Event	General Public	75.0	Movies
Staten Island	Community Based Event	General Public	45.0	Movies
Staten Island	Community Based Event	General Public	100.0	Movies
Staten Island	Community Based Event	General Public	100.0	Movies
Brooklyn	Community Based Event	General Public	200.0	Movies
Bronx	Community Based Event	General Public	44.0	Movies
Bronx	Community Based Event	General Public	236.0	Movies
Bronx	Community Based Event	General Public	250.0	Movies
Bronx	Community Based Event	General Public	125.0	Movies
Bronx	Community Based Event	General Public	54.0	Movies
Queens	Community Based Event	General Public	189.0	Other
Queens	Community Based Event	General Public	327.0	Movies
Manhattan	Community Based Event	General Public	96.0	Movies
Manhattan	Community Based Event	General Public	146.0	Movies
Manhattan	Community Based Event	General Public	285.0	Dance
Manhattan	Community Based Event	General Public	153.0	Movies
Queens	Community Based Event	General Public	167.0	Movies
Brooklyn	Community Based Event	General Public	200.0	Movies
Queens	Community Based Event	General Public	314.0	Movies
Queens	Community Based Event	General Public	260.0	Movies
Queens	Community Based Event	General Public	216.0	Movies
Queens	Community Based Event	General Public	0.0	Movies
Manhattan	Community Based Event	General Public	95.0	Movies
Manhattan	Community Based Event	General Public	215.0	Movies
Manhattan	Community Based Event	General Public	175.0	Dance
Manhattan	Community Based Event	General Public	45.0	Movies
Brooklyn	Local Event	Tot,Children	80.0	Play
Staten Island	Local Event	Children,Young Adult,Teens,Adults	130.0	Play
Staten Island	Local Event	Tot,Children,Young Adult,Adults,Teens	80.0	Play
Staten Island	Tournament/Competition	Tot,Teens	400.0	Sport
Bronx	Tournament/Competition	Teens,Children	400.0	Sport
Brooklyn	Community Based Event	General Public	170.0	Movies
Bronx	Community Based Event	General Public	63.0	Movies
Bronx	Community Based Event	General Public	31.0	Movies
Manhattan	Community Based Event	Teens,Seniors,Adults,Young Adult,Children,Tot	11.0	Sport
Queens	Community Based Event	General Public	412.0	Movies
Bronx	Community Based Event	General Public	0.0	Movies
Bronx	Community Based Event	General Public	0.0	Movies
Bronx	Local Event	Tot,Children,Teens	230.0	Play
Brooklyn	Local Event	Tot,Children,Adults	112.0	Play
Manhattan	Local Event	Tot,Adults	12.0	Play
Bronx	Local Event	Adults,Seniors	25.0	Other
Brooklyn	Local Event	Children	150.0	Play
Brooklyn	Local Event	Tot	115.0	Movies
Bronx	Local Event	Tot,Children,Teens	35.0	Lecture/Panel/Talk
Bronx	Local Event	Tot,Children,Young Adult,Adults,Teens,Seniors	60.0	Play
Bronx	Local Event	Tot	60.0	Play
Bronx	Local Event	Adults,Children,Teens	35.0	Play
Bronx	Local Event	Tot,Children,Young Adult,Adults,Teens,Seniors	150.0	Awards
Bronx	Local Event	Young Adult,Teens	150.0	Awards
Manhattan	Community Based Event	Tot,Children,Young Adult,Adults,Teens,Adaptive,Seniors,General Public	172.0	Movies
Bronx	Community Based Event	General Public	0.0	Movies
Brooklyn	Community Based Event	General Public	112.0	Movies
Bronx	Community Based Event	General Public	14.0	Movies
Bronx	Community Based Event	General Public	104.0	Movies
Bronx	Community Based Event	General Public	43.0	Movies
Queens	Community Based Event	General Public	342.0	Movies
Queens	Community Based Event	General Public	101.0	Movies
Queens	Community Based Event	General Public	194.0	Movies
Queens	Community Based Event	General Public	23.0	Movies
Queens	Community Based Event	General Public	167.0	Movies
Queens	Community Based Event	General Public	326.0	Movies
Queens	Community Based Event	General Public	54.0	Movies
Queens	Community Based Event	General Public	171.0	Movies
Manhattan	Community Based Event	General Public	55.0	Music
Manhattan	Community Based Event	General Public	369.0	Movies
Manhattan	Community Based Event	Tot,Young Adult,Teens,Children,General Public	689.0	Play
Manhattan	Community Based Event	General Public	189.0	Movies
Manhattan	Community Based Event	General Public	196.0	Movies
Manhattan	Community Based Event	General Public	150.0	Play
Manhattan	Community Based Event	General Public	325.0	Movies
Manhattan	Community Based Event	General Public,Young Adult,Children,Tot,Teens	36.0	Fitness
Manhattan	Community Based Event	General Public	65.0	Music
Manhattan	Community Based Event	General Public	85.0	Movies
Manhattan	Community Based Event	Children,Tot,Young Adult	125.0	Play
Manhattan	Community Based Event	General Public	155.0	Movies
Manhattan	Community Based Event	General Public	225.0	Movies
Bronx	Community Based Event	Children,General Public	200.0	Play
Bronx	Community Based Event	General Public,Children	56.0	Play
Bronx	Community Based Event	Children,General Public	10.0	Play
Bronx	Community Based Event	Children,General Public	40.0	Play
Bronx	Community Based Event	Children,General Public	16.0	Play
Bronx	Community Based Event	General Public	120.0	Play
Bronx	Community Based Event	General Public	0.0	Movies
Bronx	Community Based Event	General Public	100.0	Movies
Bronx	Community Based Event	General Public	76.0	Movies
Queens	Community Based Event	General Public	82.0	Movies
Queens	Community Based Event	General Public	57.0	Movies
Bronx	Community Based Event	General Public	72.0	Movies
Brooklyn	Community Based Event	General Public	325.0	Movies
Manhattan	Community Based Event	Tot,Children,Young Adult,Adults,Teens,General Public,Seniors,Adaptive	120.0	Movies
Brooklyn	Community Based Event	General Public	200.0	Movies
Bronx	Community Based Event	General Public	90.0	Movies
Bronx	Community Based Event	General Public	70.0	Movies
Manhattan	Community Based Event	General Public		Lecture/Panel/Talk
Manhattan	Tournament/Competition	Young Adult,Adults,Teens	18.0	Sport
Queens	Community Based Event	General Public	372.0	Movies
Staten Island	Community Based Event	General Public		Sport
Staten Island	Community Based Event	General Public		Sport
Staten Island	Community Based Event	General Public	125.0	Movies
Staten Island	Community Based Event	General Public	40.0	Movies
Staten Island	Community Based Event	General Public	35.0	Movies
Staten Island	Community Based Event	General Public	225.0	Movies
Staten Island	Community Based Event	General Public	225.0	Movies
Staten Island	Community Based Event	General Public	35.0	Movies
Staten Island	Community Based Event	General Public	150.0	Movies
Staten Island	Community Based Event	General Public	150.0	Movies
Staten Island	Community Based Event	General Public	50.0	Movies
Staten Island	Community Based Event	General Public	150.0	Movies
Staten Island	Community Based Event	General Public	75.0	Movies
Staten Island	Community Based Event	General Public	100.0	Movies
Bronx	Community Based Event	General Public	54.0	Movies
Brooklyn	Community Based Event	General Public	250.0	Movies
Brooklyn	Community Based Event	General Public	225.0	Movies
Brooklyn	Community Based Event	General Public	125.0	Movies
Queens	Community Based Event	General Public	82.0	Other
Manhattan	Community Based Event	Tot,Children,General Public	11.0	Sport
Bronx	Community Based Event	General Public	137.0	Movies
Queens	Community Based Event	General Public	214.0	Movies
Bronx	Community Based Event	General Public	283.0	Movies
Bronx	Community Based Event	General Public	31.0	Movies
Bronx	Community Based Event	General Public	25.0	Movies
Brooklyn	Community Based Event	General Public	110.0	Movies
Queens	Community Based Event	General Public	153.0	Movies
Bronx	Community Based Event	Children,General Public	36.0	Play
Bronx	Community Based Event	Children	2.0	Play
Bronx	Community Based Event	Children	5.0	Play
Bronx	Community Based Event	Children,Teens,General Public	45.0	Play
Bronx	Community Based Event	General Public,Children	0.0	Play
Bronx	Community Based Event	Children	40.0	Music
Bronx	Community Based Event	Children	53.0	Play
Staten Island	Community Based Event	General Public	54.0	Sport
Brooklyn	Community Based Event	General Public	175.0	Movies
Brooklyn	Community Based Event	General Public	65.0	Movies
Queens	Community Based Event	General Public	94.0	Movies
Bronx	Community Based Event	General Public	21.0	Movies
Queens	Community Based Event	General Public	219.0	Movies
Queens	Community Based Event	General Public	101.0	Movies
Queens	Community Based Event	General Public	123.0	Movies
Queens	Community Based Event	General Public	248.0	Movies
Bronx	Community Based Event	General Public	194.0	Movies
Brooklyn	Community Based Event	General Public	120.0	Movies
Manhattan	Community Based Event	General Public	550.0	Movies
Brooklyn	Community Based Event	General Public	500.0	Movies
Brooklyn	Community Based Event	General Public	180.0	Movies
Brooklyn	Community Based Event	General Public	150.0	Movies
Brooklyn	Community Based Event	General Public	90.0	Movies
Brooklyn	Community Based Event	General Public	600.0	Movies
Brooklyn	Community Based Event	General Public	500.0	Movies
Brooklyn	Community Based Event	General Public	400.0	Movies
Brooklyn	Community Based Event	General Public	200.0	Movies
Brooklyn	Community Based Event	General Public	36.0	Movies
Brooklyn	Community Based Event	General Public	200.0	Movies
Brooklyn	Community Based Event	General Public	50.0	Movies
Brooklyn	Community Based Event	General Public	150.0	Movies
Manhattan	Community Based Event	General Public	300.0	Movies
Brooklyn	Community Based Event	General Public	700.0	Movies
Brooklyn	Community Based Event	General Public	100.0	Movies
Brooklyn	Community Based Event	General Public	100.0	Movies
Brooklyn	Community Based Event	General Public	300.0	Music
Brooklyn	Community Based Event	General Public	650.0	Movies
Brooklyn	Community Based Event	General Public	45.0	Movies
Manhattan	Community Based Event	General Public	240.0	Movies
Brooklyn	Community Based Event	General Public	55.0	Movies
Brooklyn	Community Based Event	General Public	120.0	Movies
Brooklyn	Community Based Event	General Public	75.0	Movies
Brooklyn	Community Based Event	General Public	195.0	Movies
Brooklyn	Community Based Event	General Public	60.0	Movies
Brooklyn	Community Based Event	General Public	65.0	Movies
Brooklyn	Community Based Event	General Public	250.0	Movies
Brooklyn	Community Based Event	General Public	270.0	Movies
Manhattan	Community Based Event	General Public	1000.0	Movies
Brooklyn	Community Based Event	General Public	200.0	Movies
Brooklyn	Community Based Event	General Public	250.0	Movies
Brooklyn	Community Based Event	General Public	175.0	Movies
Brooklyn	Community Based Event	General Public	100.0	Movies
Brooklyn	Community Based Event	General Public	350.0	Movies
Brooklyn	Community Based Event	General Public	185.0	Movies
Brooklyn	Community Based Event	General Public	350.0	Movies
Brooklyn	Community Based Event	General Public	220.0	Movies
Manhattan	Community Based Event	General Public	251.0	Movies
Manhattan	Community Based Event	General Public	95.0	Movies
Manhattan	Community Based Event	General Public	275.0	Dance
Manhattan	Community Based Event	General Public	76.0	Movies
Manhattan	Community Based Event	General Public	475.0	Movies
Bronx	Community Based Event	General Public	60.0	Movies
Bronx	Community Based Event	General Public	31.0	Movies
Bronx	Community Based Event	General Public	45.0	Movies
Manhattan	Community Based Event	General Public	72.0	Movies
Manhattan	Community Based Event	General Public	45.0	Movies
Manhattan	Community Based Event	Children,Young Adult,Adults,Teens,Adaptive,Seniors,General Public	92.0	Movies
Staten Island	Community Based Event	General Public	25.0	Movies
Staten Island	Community Based Event	General Public	80.0	Movies
Staten Island	Community Based Event	General Public	230.0	Movies
Staten Island	Community Based Event	General Public	10.0	Movies
Bronx	Community Based Event	General Public	30.0	Movies
Manhattan	Community Based Event	General Public	300.0	Music
Manhattan	Community Based Event	General Public	375.0	Movies
Manhattan	Community Based Event	General Public	275.0	Play
Manhattan	Community Based Event	General Public	250.0	Movies
Manhattan	Community Based Event	General Public	75.0	AC&F
Manhattan	Community Based Event	General Public	50.0	Movies
Manhattan	Community Based Event	Children,Tot,Adaptive	188.0	Play
Manhattan	Community Based Event	General Public	30.0	Play
Bronx	Community Based Event	General Public	100.0	Movies
Bronx	Community Based Event	General Public	203.0	Movies
Bronx	Community Based Event	Children,General Public	56.0	Play
Bronx	Community Based Event	Children,General Public	33.0	Play
Queens	Community Based Event	General Public	248.0	Play
Bronx	Community Based Event	General Public	150.0	Movies
Bronx	Community Based Event	General Public	206.0	Movies
Manhattan	Community Based Event	Children,Young Adult,Adults,Teens,Adaptive,Seniors,General Public	29.0	Movies
Manhattan	Community Based Event	Children,Young Adult,Adults,Teens,Adaptive,Seniors,General Public	89.0	Movies
Bronx	Community Based Event	General Public	0.0	Movies
Bronx	Community Based Event	General Public	0.0	Movies
Manhattan	Community Based Event	General Public	65.0	Movies
Manhattan	Community Based Event	General Public	115.0	Movies
Manhattan	Community Based Event	General Public	42.0	Movies
Bronx	Community Based Event	General Public	220.0	Movies
Staten Island	Community Based Event	General Public	65.0	Movies
Staten Island	Community Based Event	General Public	135.0	Movies
Bronx	Community Based Event	General Public	132.0	Movies
Manhattan	Community Based Event	General Public	227.0	Fitness
Manhattan	Community Based Event	General Public	77.0	Movies
Manhattan	Agency Produced Event	General Public	285.0	Other
Manhattan	Community Based Event	General Public	52.0	Movies
Bronx	Community Based Event	General Public	42.0	Movies
Bronx	Community Based Event	General Public	35.0	Movies
Bronx	Community Based Event	General Public	75.0	Movies
Bronx	Community Based Event	General Public	43.0	Movies
Bronx	Community Based Event	General Public	39.0	Movies
Bronx	Community Based Event	General Public	80.0	Movies
Queens	Community Based Event	General Public	250.0	Movies
Queens	Community Based Event	General Public	119.0	Movies
Queens	Community Based Event	General Public	89.0	Movies
Bronx	Community Based Event	General Public	65.0	Movies
Queens	Community Based Event	General Public	114.0	Movies
Queens	Community Based Event	General Public	148.0	Movies
Bronx	Community Based Event	Children,General Public	60.0	Play
Bronx	Community Based Event	General Public	60.0	Movies
Manhattan	Tournament/Competition	Young Adult,Adults,Seniors	16.0	Sport
Manhattan	Community Based Event	General Public	60.0	Movies
Manhattan	Tournament/Competition	Children,General Public	42.0	Sport
Manhattan	Local Event	Children,General Public	20.0	Other
Bronx	Community Based Event	General Public	126.0	Movies
Staten Island	Community Based Event	General Public	50.0	Movies
Staten Island	Community Based Event	General Public	125.0	Movies
Bronx	Community Based Event	General Public	136.0	Movies
Queens	Community Based Event	General Public	138.0	Movies
Queens	Community Based Event	General Public	387.0	Play
Manhattan	Community Based Event	General Public	220.0	Movies
Manhattan	Community Based Event	General Public	275.0	Movies
Manhattan	Community Based Event	General Public	445.0	Dance
Manhattan	Community Based Event	General Public	227.0	Movies
Bronx	Community Based Event	General Public	26.0	Movies
Bronx	Community Based Event	Children	100.0	Play
Bronx	Community Based Event	Children	400.0	Play
Bronx	Community Based Event	Children,General Public	150.0	Play
Bronx	Community Based Event	Children	200.0	Play
Bronx	Community Based Event	Children,Adaptive	80.0	Play
Bronx	Community Based Event	Children	100.0	Play
Manhattan	Tournament/Competition	Young Adult,Adults	43.0	Sport
Bronx	Community Based Event	General Public	58.0	Movies
Manhattan	Community Based Event	Adults,Teens,Adaptive,Seniors,General Public,Young Adult	47.0	Movies
Queens	Community Based Event	General Public	201.0	Play
Queens	Agency Produced Event	General Public	142.0	Play
Queens	Community Based Event	Children,Teens	350.0	Fitness
Queens	Community Based Event	General Public	250.0	Play
Queens	Community Based Event	General Public	450.0	Play
Queens	Community Based Event	General Public	450.0	Play
Queens	Community Based Event	General Public	175.0	Play
Queens	Community Based Event	General Public	348.0	Play
Queens	Community Based Event	General Public	129.0	Play
Queens	Community Based Event	General Public	240.0	Play
Queens	Tournament/Competition	Children	38.0	Sport
Queens	Tournament/Competition	Young Adult,Adults,Seniors	56.0	Sport
Queens	Community Based Event	General Public	112.0	Movies
Queens	Community Based Event	General Public	94.0	Movies
Queens	Community Based Event	General Public	236.0	Movies
Queens	Community Based Event	General Public	169.0	Movies
Queens	Community Based Event	General Public	148.0	Movies
Queens	Community Based Event	General Public	112.0	Movies
Queens	Community Based Event	General Public	74.0	Movies
Queens	Community Based Event	General Public	101.0	Movies
Queens	Community Based Event	General Public	191.0	Movies
Bronx	Community Based Event	General Public	137.0	Movies
Manhattan	Community Based Event	General Public	200.0	Movies
Bronx	Community Based Event	General Public	17.0	Movies
Manhattan	Community Based Event	General Public	300.0	Movies
Manhattan	Community Based Event	General Public	220.0	Music
Manhattan	Community Based Event	General Public	600.0	Movies
Manhattan	Community Based Event	General Public	350.0	Movies
Manhattan	Community Based Event	General Public	100.0	Fitness
Manhattan	Community Based Event	General Public	250.0	Movies
Manhattan	Community Based Event	General Public	95.0	Movies
Manhattan	Community Based Event	Children,General Public	800.0	Play
Staten Island	Community Based Event	General Public	95.0	Movies
Staten Island	Community Based Event	General Public	115.0	Movies
Staten Island	Community Based Event	General Public	15.0	Movies
Bronx	Community Based Event	Children,Young Adult,Adults,General Public	25.0	Play
Bronx	Community Based Event	General Public,Children	100.0	Play
Bronx	Community Based Event	Children,Young Adult,General Public	30.0	Play
Bronx	Community Based Event	General Public	122.0	Movies
Bronx	Community Based Event	Children,General Public	150.0	Play
Bronx	Community Based Event	General Public	16.0	Movies
Manhattan	Community Based Event	Adults,Young Adult,Seniors,General Public,Adaptive,Teens	93.0	Movies
Manhattan	Community Based Event	General Public,Children	500.0	Play
Manhattan	Community Based Event	General Public	127.0	Movies
Bronx	Community Based Event	General Public	38.0	Movies
Manhattan	Community Based Event	General Public	107.0	Movies
Manhattan	Community Based Event	General Public	1400.0	Movies
Bronx	Community Based Event	Children	70.0	Play
Bronx	Community Based Event	Children,Young Adult,Adults	30.0	Play
Bronx	Community Based Event	General Public	35.0	Movies
Bronx	Community Based Event	General Public	96.0	Movies
Bronx	Community Based Event	General Public	226.0	Movies
Bronx	Community Based Event	General Public	0.0	Movies
Bronx	Community Based Event	General Public	0.0	Movies
Bronx	Community Based Event	General Public	29.0	Movies
Staten Island	Community Based Event	Young Adult,Tot,Children	150.0	Play
Staten Island	Community Based Event	General Public	50.0	Movies
Manhattan	Community Based Event	General Public	40.0	Movies
Manhattan	Community Based Event	General Public	50.0	Movies
Manhattan	Local Event	Seniors,Children,Young Adult	27.0	Other
Manhattan	Community Based Event	General Public	80.0	Movies
Manhattan	Local Event	Children	55.0	Sport
Manhattan	Community Based Event	Children	0.0	Sport
Manhattan	Tournament/Competition	Young Adult,Teens	45.0	Sport
Manhattan	Community Based Event	Children,Tot,Young Adult,Adults,Teens,Seniors,Adaptive,General Public		Play
Manhattan	Community Based Event	General Public	95.0	Movies
Manhattan	Community Based Event	General Public	100.0	Movies
Manhattan	Community Based Event	General Public	40.0	Movies
Staten Island	Community Based Event	General Public	110.0	Movies
Manhattan	Tournament/Competition	Teens,Adults,Young Adult	16.0	Sport
Manhattan	Community Based Event	Tot,Children,Young Adult,Adults,Teens,Adaptive,Seniors,General Public	125.0	Fitness
Manhattan	Community Based Event	General Public	400.0	Movies
Manhattan	Community Based Event	General Public	35.0	Movies
Manhattan	Community Based Event	General Public	100.0	Movies
Staten Island	Community Based Event	General Public	50.0	Movies
Staten Island	Community Based Event	General Public	150.0	Movies
Staten Island	Community Based Event	General Public	175.0	Movies
Staten Island	Community Based Event	General Public	50.0	Movies
Bronx	Community Based Event	Children,Tot,Young Adult,Adults,Teens,Adaptive,Seniors,General Public	400.0	Play
Staten Island	Community Based Event	Children,Teens	55.0	Other
Staten Island	Tournament/Competition	Children,Teens	250.0	Sport
Manhattan	Local Event	Teens,Young Adult,Adults,Seniors	50.0	Other
Manhattan	Community Based Event	Tot,Children	757.0	Sport
Manhattan	Local Event	Children,Young Adult,Adults,Seniors	4.0	Lecture/Panel/Talk
Brooklyn	Local Event	Tot	102.0	Play
Brooklyn	Local Event	Tot	10.0	AC&F
Brooklyn	Local Event	Tot	30.0	AC&F
Brooklyn	Local Event	Children,Tot	104.0	Play
Brooklyn	Local Event	Tot	150.0	Sport
Manhattan	Tournament/Competition	Teens	15.0	Sport
Manhattan	Tournament/Competition	Adults,Seniors,Young Adult	60.0	Other
